=== INTERLOCKING STRESS TEST SUITE ===

[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_54 | location: H_T_54
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_55 | location: H_T_55
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_56 | location: H_T_56
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_57 | location: H_T_57
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_58 | location: H_T_58
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_59 | location: H_T_59
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_60 | location: H_T_60
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_61 | location: H_T_61
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_62 | location: H_T_62
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_63 | location: H_T_63
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_64 | location: H_T_64
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_65 | location: H_T_65
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_66 | location: H_T_66
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_67 | location: H_T_67
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_68 | location: H_T_68
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_69 | location: H_T_69
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_70 | location: H_T_70
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_71 | location: H_T_71
